wavelength_nm,diameter_mm,myopia_d,threshold_stroke_arcmin,threshold_log_mar,threshold_detected,threshold_status,optical_d50_arcmin,optical_mar_arcmin,optical_log_mar
550.0,1.4885842809008711,0.5,1.1682864177098076,0.06754932769241585,True,resolved,1.3798253464242114,0.34495633660605285,-0.4622358729589669
550.0,1.645324972836306,0.5,1.1815157761322927,0.07243952490318108,True,resolved,1.3755476296727756,0.3438869074181939,-0.46358435847362844
550.0,1.8185696980492723,0.5,1.2815902502491474,0.10774919483949036,True,resolved,1.5406797309045646,0.38516993272614114,-0.41434762227642485
550.0,2.0100562510528768,0.5,1.4582833375418733,0.1638419135402369,True,resolved,1.8947965513027631,0.4736991378256908,-0.32449740572567576
550.0,2.2217054076787313,0.5,1.7087660725238794,0.23268261253599767,True,resolved,2.121736996474665,0.5304342491186662,-0.27536844213903533
550.0,2.455640192120709,0.5,1.9846916641659413,0.29769304563183685,True,resolved,2.284739196888489,0.5711847992221223,-0.24322335883306476
550.0,2.714207172704789,0.5,2.2711076903742553,0.356237727890555,True,resolved,2.640918957580304,0.660229739395076,-0.18030491720006378
550.0,3.0000000000000004,0.5,2.5776881751157075,0.4112303792635443,True,resolved,2.965798188456349,0.7414495471140873,-0.12991839575552647
550.0,0.3,1.0,4.97303971937042,0.6966219279300956,True,resolved,5.595265794056446,1.3988164485141115,0.14576073048372856
550.0,0.3315885423378064,1.0,4.506569194576445,0.6538460436798794,True,resolved,5.065618584027339,1.2664046460068348,0.10257249513559295
550.0,0.3665032046990376,1.0,4.093346483329697,0.6120785072715657,True,resolved,4.587616746019639,1.1469041865049097,0.05952713803179571
550.0,0.4050942113609619,1.0,3.701196519388367,0.5683421450843329,True,resolved,4.156761290949486,1.0391903227373716,0.01669509379887427
550.0,0.4477486635155488,1.0,3.338981743968282,0.5236140445363979,True,resolved,3.7691334932483134,0.9422833733120783,-0.025818471985433456
550.0,0.4492873987401234,1.0,3.327899175208808,0.5221701600724843,True,resolved,3.7565742803270483,0.9391435700817621,-0.027268010579389962
550.0,0.47293410393697205,1.0,3.168632941243017,0.5008719328395389,True,resolved,3.574297836156601,0.8935744590391502,-0.0488692531163542
550.0,0.4948944222294061,1.0,3.0358070639018297,0.4822741671755685,True,resolved,3.421397670565143,0.8553494176412858,-0.06785643596932105
550.0,0.4965808091338207,1.0,3.0260167818790897,0.4808713322322025,True,resolved,3.4102481931138837,0.8525620482784709,-0.06927400383770868
550.0,0.5470044002605323,1.0,2.756727759225562,0.4403938794521896,True,resolved,3.1108283739976206,0.7777070934994051,-0.10918393980840964
550.0,0.5502624373878341,1.0,2.740443966311116,0.43782092650649646,True,resolved,3.0935256827104545,0.7733814206776136,-0.11160626540765295
550.0,0.5792236183029833,1.0,2.6034162066236872,0.41554360406410773,True,resolved,2.9491593999927463,0.7372898499981866,-0.13236174483028146
550.0,0.6046013057825199,1.0,2.491918597468509,0.39653385129063956,True,resolved,2.83537343114066,0.708843357785165,-0.14944972584032742
550.0,0.6081847992181325,1.0,2.4780191307252686,0.39410465487957164,True,resolved,2.8201796407940503,0.7050449101985126,-0.15178321828493085
550.0,0.6353883327016112,1.0,2.3804475902066655,0.37665862414927925,True,resolved,2.7113237931634813,0.6778309482908703,-0.16887860610190306
550.0,0.6682628855998672,1.0,2.2768718130587353,0.3573385807037077,True,resolved,2.593774430644517,0.6484436076611293,-0.18812778665236893
550.0,0.6688298238964329,1.0,2.2752081161084416,0.3570211282650485,True,resolved,2.591871010397892,0.647967752599473,-0.18844660711796968
550.0,0.7022713150912545,1.0,2.1816670199123043,0.3387884664861124,True,resolved,2.4864136019527048,0.6216034004881762,-0.20648661838794777
550.0,0.7386277204483878,1.0,2.090203157879945,0.32018849953607303,True,resolved,2.385782115403764,0.596445528850941,-0.22442921268040758
550.0,0.7781886018183509,1.0,2.0011646251507567,0.3012828171987733,True,resolved,2.2910157066648034,0.5727539266662008,-0.24203192470754328
550.0,0.8164016305125923,1.0,1.9250807169880881,0.2844489438224937,True,resolved,2.212545945546724,0.553136486386681,-0.257167693341047
550.0,0.8191458966508958,1.0,1.9199450557095314,0.28328880039959314,True,resolved,2.2073716219881834,0.5518429054970458,-0.2581845363754734
550.0,0.8601031914834406,1.0,1.8490877355847735,0.26695751806904927,True,resolved,2.137051090896406,0.5342627727241015,-0.27224508627706556
550.0,0.9023647554129298,1.0,1.7877018598962329,0.252295091977671,True,resolved,2.0773408768337767,0.5193352192084442,-0.2845522243157218
550.0,0.9973793796812823,1.0,1.6960504589298875,0.22943876873958013,True,resolved,1.9819839239260777,0.4954959809815194,-0.3049598637712941
550.0,1.1005248747756682,1.0,1.660717621964455,0.22029579401182794,True,resolved,1.939542333207507,0.48488558330187675,-0.3143607282076746
550.0,1.102398582221007,1.0,1.660770638303301,0.220309658100218,True,resolved,1.9393609833250527,0.4848402458312632,-0.3144013372390807
550.0,1.1584472366059666,1.0,1.678710161961798,0.2249757194099348,True,resolved,1.943954155278838,0.4859885388197095,-0.3133739726843093
550.0,1.216369598436265,1.0,1.7341258342183161,0.23908060820584112,True,resolved,1.9916751339828438,0.49791878349571095,-0.30284149008391376
