wavelength_nm,diameter_mm,myopia_d,stroke_arcmin,contrast_ratio,optical_d50_arcmin,optical_log_mar
550.0,0.7781886018183509,0.5,14.0,0.7991764731206248,2.187452988019306,-0.26212126323964363
550.0,0.7781886018183509,0.5,20.0,0.8479342866375204,2.187452988019306,-0.26212126323964363
550.0,0.8164016305125923,0.5,0.5,-0.05806600744297284,2.091853606509322,-0.28152870315462397
550.0,0.8164016305125923,0.5,0.8,-0.05188192110958748,2.091853606509322,-0.28152870315462397
550.0,0.8164016305125923,0.5,1.2,0.002006722596830978,2.091853606509322,-0.28152870315462397
550.0,0.8164016305125923,0.5,1.8,0.18372850605941443,2.091853606509322,-0.28152870315462397
550.0,0.8164016305125923,0.5,2.5,0.34326846496927005,2.091853606509322,-0.28152870315462397
550.0,0.8164016305125923,0.5,3.5,0.46935491093165965,2.091853606509322,-0.28152870315462397
550.0,0.8164016305125923,0.5,5.0,0.5855111680468533,2.091853606509322,-0.28152870315462397
550.0,0.8164016305125923,0.5,7.0,0.674038573073539,2.091853606509322,-0.28152870315462397
550.0,0.8164016305125923,0.5,10.0,0.7495367563929556,2.091853606509322,-0.28152870315462397
550.0,0.8164016305125923,0.5,14.0,0.8059378480469745,2.091853606509322,-0.28152870315462397
550.0,0.8164016305125923,0.5,20.0,0.8531767296112734,2.091853606509322,-0.28152870315462397
550.0,0.8191458966508958,0.5,0.5,-0.05816485578552555,2.085370610534921,-0.282876742662272
550.0,0.8191458966508958,0.5,0.8,-0.0517249475683221,2.085370610534921,-0.282876742662272
550.0,0.8191458966508958,0.5,1.2,0.003010689620068556,2.085370610534921,-0.282876742662272
550.0,0.8191458966508958,0.5,1.8,0.18532929819343347,2.085370610534921,-0.282876742662272
550.0,0.8191458966508958,0.5,2.5,0.34457796205640545,2.085370610534921,-0.282876742662272
550.0,0.8191458966508958,0.5,3.5,0.47037664331606494,2.085370610534921,-0.282876742662272
550.0,0.8191458966508958,0.5,5.0,0.5863904094441882,2.085370610534921,-0.282876742662272
550.0,0.8191458966508958,0.5,7.0,0.6747639699993099,2.085370610534921,-0.282876742662272
550.0,0.8191458966508958,0.5,10.0,0.750109854091055,2.085370610534921,-0.282876742662272
550.0,0.8191458966508958,0.5,14.0,0.8063990832256325,2.085370610534921,-0.282876742662272
550.0,0.8191458966508958,0.5,20.0,0.8535348090993975,2.085370610534921,-0.282876742662272
550.0,0.8601031914834406,0.5,0.5,-0.05926849154667021,1.9941681481697149,-0.3022982161169214
550.0,0.8601031914834406,0.5,0.8,-0.0493962342790959,1.9941681481697149,-0.3022982161169214
550.0,0.8601031914834406,0.5,1.2,0.01906609481194501,1.9941681481697149,-0.3022982161169214
550.0,0.8601031914834406,0.5,1.8,0.20811602081595793,1.9941681481697149,-0.3022982161169214
550.0,0.8601031914834406,0.5,2.5,0.3629221282667003,1.9941681481697149,-0.3022982161169214
550.0,0.8601031914834406,0.5,3.5,0.48511805555175846,1.9941681481697149,-0.3022982161169214
550.0,0.8601031914834406,0.5,5.0,0.5987811737196269,1.9941681481697149,-0.3022982161169214
550.0,0.8601031914834406,0.5,7.0,0.6849997395721362,1.9941681481697149,-0.3022982161169214
550.0,0.8601031914834406,0.5,10.0,0.7582149656700512,1.9941681481697149,-0.3022982161169214
550.0,0.8601031914834406,0.5,14.0,0.8129198055728735,1.9941681481697149,-0.3022982161169214
550.0,0.8601031914834406,0.5,20.0,0.8586282885673182,1.9941681481697149,-0.3022982161169214
550.0,0.9023647554129298,0.5,0.5,-0.0597443127437237,1.9100306293169296,-0.32101965966313034
550.0,0.9023647554129298,0.5,0.8,-0.04686759108305716,1.9100306293169296,-0.32101965966313034
550.0,0.9023647554129298,0.5,1.2,0.0374322825209726,1.9100306293169296,-0.32101965966313034
550.0,0.9023647554129298,0.5,1.8,0.22953756857560442,1.9100306293169296,-0.32101965966313034
