pitch_mm,acceptance_radius_mm,axis_visible_hole_count,axis_single_hole_limit_mm,all_gaze_single_hole_limit_mm,square_gap_free_limit_mm,triangular_gap_free_limit_mm,zero_coverage_fraction,single_hole_coverage_fraction,multi_hole_coverage_fraction,coverage_class
5.454166666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.08484609910823783,0.815470332631834,0.09968356825992823,simultaneous_overlap_and_gap
5.508333333333334,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.09217399203621554,0.8202546594195219,0.08757134854426259,simultaneous_overlap_and_gap
5.5625,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.09998637375281988,0.8237672031370649,0.07624642311011522,simultaneous_overlap_and_gap
5.616666666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.10804099986373752,0.8269769413617163,0.06498205877454617,simultaneous_overlap_and_gap
5.670833333333333,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.11645899256612514,0.8278247967418129,0.05571621069206195,simultaneous_overlap_and_gap
5.7250000000000005,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.1253614740571394,0.8283092855304395,0.046329240412421084,simultaneous_overlap_and_gap
5.779166666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.134142833350997,0.8282487244318611,0.03760844221714182,simultaneous_overlap_and_gap
5.833333333333334,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.1428030704476979,0.8267952580659813,0.030401671486320763,simultaneous_overlap_and_gap
5.8875,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.15255340731880876,0.8240094475313782,0.02343714514981302,simultaneous_overlap_and_gap
5.941666666666666,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.16218262199276295,0.8204969038138352,0.01732047419340187,simultaneous_overlap_and_gap
5.995833333333334,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.17229632545534376,0.8159548214204606,0.011748853124195673,simultaneous_overlap_and_gap
6.05,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.1824705900165029,0.8100803948583627,0.00744901512513437,simultaneous_overlap_and_gap
6.104166666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.1934321488591803,0.8028130630289634,0.003754788111856349,simultaneous_overlap_and_gap
6.158333333333333,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.20499931868764099,0.7938500204393708,0.001150660872988236,simultaneous_overlap_and_gap
6.2125,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.21753546609335495,0.782464533906645,0.0,single_hole_overlap_free_but_gap
6.266666666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.23110115217490046,0.7688988478250995,0.0,single_hole_overlap_free_but_gap
6.320833333333334,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.24436403276355434,0.7556359672364457,0.0,single_hole_overlap_free_but_gap
6.375,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.2573846689578949,0.7426153310421051,0.0,single_hole_overlap_free_but_gap
6.429166666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.2698602552650305,0.7301397447349695,0.0,single_hole_overlap_free_but_gap
6.483333333333333,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.28221471937500947,0.7177852806249906,0.0,single_hole_overlap_free_but_gap
6.5375000000000005,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.29329740041484353,0.7067025995851565,0.0,single_hole_overlap_free_but_gap
6.591666666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.30540962013050915,0.6945903798694908,0.0,single_hole_overlap_free_but_gap
6.645833333333334,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.3164317400717649,0.6835682599282351,0.0,single_hole_overlap_free_but_gap
6.7,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.32775666550591226,0.6722433344940877,0.0,single_hole_overlap_free_but_gap
6.754166666666666,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.33865766325001134,0.6613423367499887,0.0,single_hole_overlap_free_but_gap
6.808333333333334,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.3487713667125922,0.6512286332874079,0.0,single_hole_overlap_free_but_gap
6.8625,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.35888507017517296,0.641114929824827,0.0,single_hole_overlap_free_but_gap
6.916666666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.3688170903420188,0.6311829096579812,0.0,single_hole_overlap_free_but_gap
