comparison_group,pattern_kind,diameter_mm,pitch_mm,pitch_to_diameter_ratio,myopia_d,separation_to_width_ratio,max_ghost_peak_ratio,valley_visibility,ghost_count
diameter_pitch_grid,square_packing,0.6225508814546807,1.5,2.409441613021303,2.0,0.4563542698840513,0.0,nan,0
diameter_pitch_grid,square_packing,0.6225508814546807,4.270369592393405,6.859470799262327,2.0,1.299200931647831,0.6999183526182423,0.00011739941801369033,20
diameter_pitch_grid,square_packing,0.6225508814546807,6.48955841444391,10.424141395929137,2.0,1.974358461395635,0.9985551849968607,0.925282716861251,8
diameter_pitch_grid,triangular_packing,0.6225508814546807,7.999999999999998,12.850355269446947,2.0,2.4338894393816064,0.9986819086523855,0.9708658669019541,6
diameter_pitch_grid,square_packing,0.7003697416365159,1.5,2.141725878241158,2.0,0.4575543570126485,0.0,nan,0
diameter_pitch_grid,square_packing,0.7003697416365159,4.270369592393405,6.097307377122068,2.0,1.3026174753692872,0.6879727145893576,5.583092089475006e-05,20
diameter_pitch_grid,triangular_packing,0.7003697416365159,7.999999999999998,11.422538017286174,2.0,2.4402899040674577,0.9988005310206807,0.9735114963589889,6
diameter_pitch_grid,square_packing,0.7781886018183509,1.5,1.9275532904170425,2.0,0.4584371612945775,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,0.7781886018183509,2.2795070569547775,2.9292475521080332,2.0,0.6966738295608699,0.9186477596864231,0.11912361109337963,65
diameter_pitch_grid,square_packing,0.7781886018183509,4.270369592393405,5.487576639409862,2.0,1.3051307424103433,0.6807844339614093,0.0,20
diameter_pitch_grid,triangular_packing,0.7781886018183509,7.999999999999998,10.280284215557558,2.0,2.444998193571079,0.9989984684075724,0.9762410573339676,6
diameter_pitch_grid,square_packing,0.8560074620001861,1.5,1.7523211731064021,2.0,0.4591898664221606,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,0.8560074620001861,2.2795070569547775,2.662952320098212,2.0,0.697817693994291,0.9173889838680902,0.11861971045310987,65
diameter_pitch_grid,square_packing,0.8560074620001861,4.270369592393405,4.988706035827146,2.0,1.3072736284695896,0.6891507146208727,0.0,20
diameter_pitch_grid,triangular_packing,0.8560074620001861,7.999999999999998,9.345712923234142,2.0,2.449012620918189,0.9990376987009646,0.9779999133650342,6
diameter_pitch_grid,hexagonal_packing,0.8560074620001861,7.999999999999998,9.345712923234142,2.0,2.449012620918189,0.9993719638942142,0.9805792288763799,3
diameter_pitch_grid,square_packing,0.9338263221820211,1.5,1.6062944086808688,2.0,0.4597799501247004,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,0.9338263221820211,2.2795070569547775,2.4410396267566945,2.0,0.6987144273037134,0.920880599048098,0.1172508959656988,65
diameter_pitch_grid,square_packing,0.9338263221820211,4.270369592393405,4.572980532841552,2.0,1.308953545469785,0.7046594865177487,0.0,20
diameter_pitch_grid,triangular_packing,0.9338263221820211,7.999999999999998,8.56690351296463,2.0,2.452159733998401,0.9991113771367836,0.9797794034346079,6
diameter_pitch_grid,hexagonal_packing,0.9338263221820211,7.999999999999998,8.56690351296463,2.0,2.452159733998401,0.9994208311547936,0.9821317411430918,3
diameter_pitch_grid,square_packing,0.508310666161289,6.48955841444391,12.76691371332497,3.0,2.9397938501841363,0.9994344492190587,0.9832637805803427,8
diameter_pitch_grid,triangular_packing,0.508310666161289,7.999999999999998,15.738406711815028,3.0,3.6240294484641553,0.9995195875845001,0.9916750947401383,6
diameter_pitch_grid,square_packing,0.5718494994314501,6.48955841444391,11.348367745177748,3.0,2.9492549358353304,0.9994719726884873,0.9849801577496158,8
diameter_pitch_grid,triangular_packing,0.5718494994314501,7.999999999999998,13.98969485494669,3.0,3.635692597229577,0.9995611608589102,0.9925538739682505,6
diameter_pitch_grid,triangular_packing,0.6353883327016112,7.999999999999998,12.590725369452022,3.0,3.644566379603638,0.9996208828098758,0.9932962263658318,6
diameter_pitch_grid,hexagonal_packing,0.6989271659717724,1.5,2.146146369792959,3.0,0.6845482548837499,0.9306163931239219,0.12652820091844902,92
diameter_pitch_grid,triangular_packing,0.6989271659717724,7.999999999999998,11.44611397222911,3.0,3.650924026046668,0.9996459731400588,0.9939329398496882,6
diameter_pitch_grid,hexagonal_packing,0.7624659992419335,1.5,1.967300838976879,3.0,0.685366522937104,0.9309980385823771,0.12470100408769592,92
diameter_pitch_grid,triangular_packing,0.7624659992419335,7.999999999999998,10.492271141210018,3.0,3.6552881223312235,0.9996911516720006,0.9944171641910846,6
diameter_pitch_grid,square_packing,0.4402099499102673,6.48955841444391,14.74196213821779,4.0,3.8944157690505357,0.9997215315401679,0.99288375456502,8
diameter_pitch_grid,triangular_packing,0.4402099499102673,7.999999999999998,18.173146703364438,4.0,4.80083915772472,0.9997406742283506,0.9963651445701569,6
diameter_pitch_grid,hexagonal_packing,0.4952361936490507,2.2795070569547775,4.6028684619326325,4.0,1.3725402564967653,0.9713755551102146,0.007749979150482297,65
diameter_pitch_grid,triangular_packing,0.4952361936490507,7.999999999999998,16.15390818076839,4.0,4.8169721688174425,0.9997703603518581,0.9967883058238451,6
diameter_pitch_grid,hexagonal_packing,0.5502624373878341,2.2795070569547775,4.14258161573937,4.0,1.3760519846891486,0.9651161550783194,0.00681340887260742,65
diameter_pitch_grid,triangular_packing,0.5502624373878341,7.999999999999998,14.53851736269155,4.0,4.829296686722905,0.9998016869394981,0.9971186321579163,6
diameter_pitch_grid,square_packing,0.6052886811266176,2.2795070569547775,3.76598328703579,4.0,1.3787307544964849,0.9682442964619264,0.00723347223024972,76
diameter_pitch_grid,triangular_packing,0.6052886811266176,2.2795070569547775,3.76598328703579,4.0,1.3787307544964849,0.9620387093380433,0.005085606414097833,76
diameter_pitch_grid,hexagonal_packing,0.6052886811266176,2.2795070569547775,3.76598328703579,4.0,1.3787307544964846,0.9658956965380313,0.007413056450640029,65
