comparison_group,pattern_kind,diameter_mm,pitch_mm,pupil_diameter_mm,myopia_d,wavelength_nm,ring_count,ghost_index,ghost_x_arcmin,ghost_y_arcmin,ghost_radius_arcmin,ghost_azimuth_deg,multiplicity,total_weight,measured_peak,peak_ratio,above_visibility_threshold
pupil_study_A,square_packing,1.2,2.0,2.0,3.0,550.0,0,9,0.0,-550.0394833255904,550.0394833255904,270.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,2.0,3.0,550.0,0,10,-550.0394833255904,0.0,550.0394833255904,180.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,2.0,3.0,550.0,0,11,550.0394833255904,0.0,550.0394833255904,0.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,2.0,3.0,550.0,0,12,0.0,550.0394833255904,550.0394833255904,90.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,2.0,3.0,550.0,0,13,-275.0197416627952,-550.0394833255904,614.9628375124411,243.43494882292202,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,2.0,3.0,550.0,0,14,275.0197416627952,-550.0394833255904,614.9628375124411,296.565051177078,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,2.0,3.0,550.0,0,15,-550.0394833255904,-275.0197416627952,614.9628375124411,206.565051177078,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,2.0,3.0,550.0,0,16,550.0394833255904,-275.0197416627952,614.9628375124411,333.434948822922,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,2.0,3.0,550.0,0,17,-550.0394833255904,275.0197416627952,614.9628375124411,153.434948822922,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,2.0,3.0,550.0,0,18,550.0394833255904,275.0197416627952,614.9628375124411,26.56505117707799,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,2.0,3.0,550.0,0,19,-275.0197416627952,550.0394833255904,614.9628375124411,116.56505117707799,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,2.0,3.0,550.0,0,20,275.0197416627952,550.0394833255904,614.9628375124411,63.43494882292201,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,2.0,3.0,550.0,0,21,-550.0394833255904,-550.0394833255904,777.8732971597398,225.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,2.0,3.0,550.0,0,22,550.0394833255904,-550.0394833255904,777.8732971597398,315.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,2.0,3.0,550.0,0,23,-550.0394833255904,550.0394833255904,777.8732971597398,135.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,2.0,3.0,550.0,0,24,550.0394833255904,550.0394833255904,777.8732971597398,45.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,1,0.0,-275.0197416627952,275.0197416627952,270.0,1,0.4680968682291338,0.003267692402869523,0.4679811787494763,True
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,2,-275.0197416627952,0.0,275.0197416627952,180.0,1,0.4680968682291338,0.0032676924263793363,0.46798118211642425,True
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,3,275.0197416627952,0.0,275.0197416627952,0.0,1,0.4680968682291338,0.0032676922956112117,0.46798116338852286,True
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,4,0.0,275.0197416627952,275.0197416627952,90.0,1,0.4680968682291338,0.0032676922956144023,0.4679811633889798,True
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,5,-275.0197416627952,-275.0197416627952,388.9366485798699,225.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,6,275.0197416627952,-275.0197416627952,388.9366485798699,315.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,7,-275.0197416627952,275.0197416627952,388.9366485798699,135.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,8,275.0197416627952,275.0197416627952,388.9366485798699,45.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,9,0.0,-550.0394833255904,550.0394833255904,270.0,1,0.0,0.0,0.0,False
